filename,FaceOcclusion,gender
database3/database3/m.01w0zk1/66-FaceId-0_align.webp,0.024005,1.0
database3/database3/m.016ywr/88-FaceId-0_align.webp,0.030028,1.0
database3/database3/m.02dfmb/105-FaceId-0_align.webp,0.009984,0.0
database3/database3/m.01_h_s/33-FaceId-5_align.webp,0.255016,1.0
database3/database3/m.02lqkv/85-FaceId-0_align.webp,0.252091,1.0
database3/database3/m.0260ghm/60-FaceId-0_align.webp,0.017832,1.0
database3/database3/m.02607_t/115-FaceId-0_align.webp,0.008408,1.0
database3/database3/m.021zgr/126-FaceId-0_align.webp,0.013521,0.0
database3/database3/m.01jxq6y/10-FaceId-0_align.webp,0.003048,1.0
database3/database3/m.0260h3m/105-FaceId-0_align.webp,0.028252,1.0
database3/database3/m.01kmwj/71-FaceId-0_align.webp,0.017228,1.0
database3/database3/m.01p1812/92-FaceId-0_align.webp,0.21754,0.0
database3/database3/m.02jfg1/35-FaceId-0_align.webp,0.298842,0.0
database3/database3/m.01glc5/38-FaceId-0_align.webp,0.020095,1.0
database3/database3/m.01xxb6/54-FaceId-0_align.webp,0.062557,0.0
database3/database3/m.01q3_2/4-FaceId-0_align.webp,0.147555,1.0
database3/database3/m.01w9jh4/96-FaceId-0_align.webp,0.003833,1.0
database3/database3/m.0262t8r/75-FaceId-0_align.webp,0.002046,1.0
database3/database3/m.01dhpj/100-FaceId-0_align.webp,0.003809,1.0
database3/database3/m.01wnc_t/53-FaceId-0_align.webp,0.006407,1.0
database3/database3/m.025v66/23-FaceId-0_align.webp,0.001336,1.0
database3/database3/m.027vv8/78-FaceId-0_align.webp,0.057907,0.0
database3/database3/m.01s8vkn/19-FaceId-0_align.webp,0.095831,0.0
database3/database3/m.024jwt/34-FaceId-0_align.webp,0.026805,1.0
database3/database3/m.01ttg5/69-FaceId-0_align.webp,0.216264,1.0
database3/database3/m.01l48rv/23-FaceId-0_align.webp,0.169552,0.0
database3/database3/m.026y0h7/9-FaceId-0_align.webp,0.065421,1.0
database3/database3/m.01nbzdl/32-FaceId-0_align.webp,0.123599,1.0
database3/database3/m.026mk7w/5-FaceId-0_align.webp,0.035333,1.0
database3/database3/m.01nvzd9/88-FaceId-0_align.webp,0.035931,1.0
database3/database3/m.0177s6/54-FaceId-0_align.webp,0.003871,1.0
database3/database3/m.01sl9r4/19-FaceId-0_align.webp,0.185959,1.0
database3/database3/m.02b5dz/72-FaceId-0_align.webp,0.067545,0.0
database3/database3/m.013pm5/97-FaceId-0_align.webp,0.084791,1.0
database3/database3/m.01hd6k/80-FaceId-0_align.webp,0.026841,1.0
database3/database3/m.014sn2/74-FaceId-0_align.webp,0.059714,1.0
database3/database3/m.01nmvm/70-FaceId-0_align.webp,0.002453,1.0
database3/database3/m.020p0p/83-FaceId-0_align.webp,0.000691,1.0
database3/database3/m.025vh2/69-FaceId-0_align.webp,0.003281,1.0
database1/img00022639.webp,0.260328,0.0
database3/database3/m.01cw0m/105-FaceId-0_align.webp,0.075743,0.0
database3/database3/m.02js_6/100-FaceId-0_align.webp,0.012354,1.0
database3/database3/m.026716t/71-FaceId-0_align.webp,0.151142,0.0
database3/database3/m.01mghp3/28-FaceId-0_align.webp,0.03119,1.0
database3/database3/m.026ttn9/60-FaceId-0_align.webp,0.124047,1.0
database1/img00007866.webp,0.017375,0.0
database3/database3/m.01q4qf6/9-FaceId-0_align.webp,0.043116,1.0
database3/database3/m.013vdl/6-FaceId-0_align.webp,0.042861,0.0
database3/database3/m.01st1f/40-FaceId-0_align.webp,0.134994,0.0
database3/database3/m.01d3j7/12-FaceId-0_align.webp,0.146331,0.0
database3/database3/m.01gdlz/75-FaceId-0_align.webp,0.120931,1.0
database1/img00026088.webp,0.15625,0.0
database3/database3/m.01vgyy/67-FaceId-0_align.webp,0.070182,0.0
database3/database3/m.01p3wsp/76-FaceId-0_align.webp,0.04111,0.0
database3/database3/m.01xldv/48-FaceId-0_align.webp,0.080896,0.0
database3/database3/m.01m8062/67-FaceId-0_align.webp,0.014742,1.0
database3/database3/m.025xsrq/1-FaceId-0_align.webp,0.091483,1.0
database3/database3/m.01c3z5/78-FaceId-0_align.webp,0.031965,1.0
database3/database3/m.01kbds_/88-FaceId-0_align.webp,0.016562,0.0
database3/database3/m.01t5w7/52-FaceId-0_align.webp,0.116775,1.0
database3/database3/m.01pd15_/82-FaceId-0_align.webp,0.103965,1.0
database1/img00022834.webp,0.019524,0.0
database3/database3/m.01846t/91-FaceId-0_align.webp,0.082333,1.0
database3/database3/m.018xyj/19-FaceId-1_align.webp,0.009441,1.0
database3/database3/m.01xcp_/50-FaceId-0_align.webp,0.04438,1.0
database3/database3/m.01q7tn/77-FaceId-0_align.webp,0.002318,1.0
database3/database3/m.01fwpt/26-FaceId-0_align.webp,0.214125,0.0
database3/database3/m.01p6c6/50-FaceId-0_align.webp,0.261108,1.0
database3/database3/m.01s9sv/76-FaceId-0_align.webp,0.061915,0.0
database3/database3/m.027h97_/73-FaceId-0_align.webp,0.014402,1.0
database3/database3/m.01s8vkn/96-FaceId-0_align.webp,0.032647,0.0
database3/database3/m.027_9_p/34-FaceId-0_align.webp,0.05304,1.0
database3/database3/m.01sxq9/41-FaceId-0_align.webp,0.023204,0.0
database3/database3/m.01w9yqp/21-FaceId-0_align.webp,0.010704,1.0
database3/database3/m.01dml6/70-FaceId-0_align.webp,0.141321,0.0
database3/database3/m.01phxh/77-FaceId-0_align.webp,0.32988,0.0
database1/img00017134.webp,0.11266,0.0
database3/database3/m.02825t/65-FaceId-0_align.webp,0.028871,1.0
database3/database3/m.026z99l/59-FaceId-0_align.webp,0.42603,0.0
database3/database3/m.025jsy/22-FaceId-0_align.webp,0.014921,1.0
database3/database3/m.025dnm/107-FaceId-0_align.webp,0.35329,0.0
database3/database3/m.01qhf_2/99-FaceId-0_align.webp,0.002249,0.0
database3/database3/m.026sxqq/4-FaceId-0_align.webp,0.02335,1.0
database3/database3/m.01tb_47/32-FaceId-0_align.webp,0.052393,1.0
database3/database3/m.02m2wb/64-FaceId-0_align.webp,0.30076,1.0
database3/database3/m.027__w1/36-FaceId-0_align.webp,0.00725,0.0
database3/database3/m.019znx/14-FaceId-0_align.webp,0.063666,1.0
database3/database3/m.023n39/73-FaceId-0_align.webp,0.042293,1.0
database3/database3/m.0288crq/53-FaceId-0_align.webp,0.171134,1.0
database3/database3/m.01wl_pp/55-FaceId-0_align.webp,0.100313,0.0
database3/database3/m.02656ty/28-FaceId-0_align.webp,0.141921,0.0
database3/database3/m.01w5m3/69-FaceId-1_align.webp,0.031597,1.0
database3/database3/m.028nv5/40-FaceId-0_align.webp,0.02217,1.0
database3/database3/m.027whtc/19-FaceId-0_align.webp,0.101509,0.0
database1/img00020280.webp,0.093764,0.0
database3/database3/m.019525/68-FaceId-0_align.webp,0.07266,1.0
database1/img00027124.webp,0.096407,0.0
